Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice Period To Terminate Renewal,Governing Law,Most Favored Nation,Competitive Restriction Exception,Non-Compete,Exclusivity,No-Solicit Of Customers,No-Solicit Of Employees,Non-Disparagement,Termination For Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change Of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restrictions,Minimum Commitment,Volume Restriction,Ip Ownership Assignment,Joint Ip Ownership,License Grant,Non-Transferable License,Affiliate License-Licensor,Affiliate License-Licensee,Unlimited/All-You-Can-Eat-License,Irrevocable Or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap On Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not To Sue,Third Party Beneficiary
ELECTRAMECCANICA_VEHICLES_CORP._-_Manufacturing_Agreement,Manufacturing Agreement,"Electrameccanica Vehicles Corp (""EMV""); Chongqing Zongshen Automobile Industry Co., LTD. (""Manufacturer""); ELECTRAMECCANICA VEHICLES CORP (""EMV"")",02/[]/2017,02/[]/2017,02/[]/2021,successive 1 year,,Hong Kong,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION_AGREEMENT",Cooperation Agreement (,"e.l.f. Beauty, Inc. (""Company"", ""Party""); Marathon Partners Equity Management, LLC (""Marathon Partners"", ""Party"", collectively with Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Partners L.P. (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Focus Fund L.P.,Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Focus Fund L.P.  (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Partners LUX Fund, L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Marathon Partners LUX Fund, L.P. (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Cibelli Research & Management, LLC, and Mario Cibelli, the ""Marathon Parties""); Cibelli Research & Management, LLC (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., and Mario Cibelli, the ""Marathon Parties""); Mario Cibelli (""Party"", collectively with Marathon Partners Equity Management, LLC, Marathon Partners L.P., Marathon Focus Fund L.P., Marathon Partners LUX Fund, L.P., and Cibelli Research & Management, LLC, the ""Marathon Parties"")",20/1/07,,,,,Delaware,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING_AGREEMENT_-_DR._GAETANO_MORELLO_N.D._INC.,CONSULTING AGREEMENT,"EMERALD HEALTH NATURALS, INC (???Emerald???, ???Company???); DR. GAETANO MORELLO N.D. INC (""Contractor"")",19/10/01,19/10/01,,,,"British Columbia, Canada",No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,Dialog Semiconductor (UK) Ltd. (???DIALOG???); Energous Corporation (???ENERGOUS???),16/6/11,16/6/11,23/6/11,successive 1 year,180 days,California,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation_AGREEMENT,Transportation Agreement,"Energy XXI Gulf Coast, Inc. (""Shipper""); Energy XXI USA, Inc. (""Transporter"");Shipper and Transporter (individually as a ???Party??? or collectively as the ???Parties???)",15/11/03,15/11/03,perpetual,perpetual,30 days,Texas,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION_CONTRACT,TRANSPORTATION CONTRACT,"Enterprise Transportation Company (""Carrier""); Enterprise Products  Operating L.P. (""Shipper"")",6/1/98,6/1/98,6/1/99,perpetual,30 days,Texas,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,"VendingData Corporation (""Vendor""); Technical Casino Supplies Ltd. (""Distributor"")",1/21/05,1/21/05,1/21/10,successive 3 years,90 days,"Ontario, Canada",Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"NORTHERN TELECOM LIMITED (""NTL""); ENTRUST TECHNOLOGIES INC. (""ETI"")",12/31/96,,,,,"Province of Ontario, Canada",Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR_AGREEMENT",DISTRIBUTOR AGREEMENT,"Tripath Technology, Inc. (""Tripath""); Uniquest Corporation (""Distributor"")",7/7/98,7/1/98,perpetual,successive 1 year,1 month,California,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,"WatchGuard Technologies, Inc. (""WGT""); European Micro (""Distributor"")",11/5/97,11/5/97,9/30/97,successive 1 year,30 days,Washington,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding_Agreement,CO-BRANDING AGREEMENT,"About.com, Inc. (""About""); ebix.com, Inc. (""ebix"")",1/19/01,1/19/01,,,,Illinois; New York,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement_Agreement,ENDORSEMENT AGREEMENT,"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",11/14/17,11/14/17,11/14/18,successive 1 year,30 days,Michigan,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship_Agreement,SPONSORSHIP AGREEMENT,"Fruit of Life Productions LLC (""Promoter""); Eco Science Solutions, Inc. (""Sponsor"")",18/1/04,18/1/04,4/30/18,,,Florida,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding_Agreement,CO-BRANDING AGREEMENT,"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")",5/22/00,5/22/00,5/22/02,successive 1 year,60 days,California,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License_Agreement__Reseller_Agreement,LICENSE AND RESELLER AGREEMENT,"EHAVE, INC. (""Ehave""); COMPANION HEALTHCARE TECHNOLOGIES CORP (""CHT"")",10/30/18,10/30/18,Perpetual,,,"Ontario, Canada",No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development_Agreement,FRANCHISE DEVELOPMENT AGREEMENT (Non-exclusive/Exclusive),"EL POLLO LOCO, INC. (""El Pollo Loco"" or ""Franchisor""); an individual (""Developer"")",,,[ ]/[ ]/20[ ],,,California; the state in which the breach occurs,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding_Agreement,CO-BRANDING AGREEMENT,"Snap Technologies, Inc. (""Snap""); United Airlines, Inc. (""Sponsor"")",6/8/99,6/8/99,12/31/00,,,California,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6_MAT_CTRCT_11987205_EX1A-6_MAT_CTRCT_Development_Agreement,Consulting and Product Development Agreement,"Emerald Health Sciences Inc. (""EHS""); Emerald Health Nutraceuticals Inc. (""EHN""); Michael T. Murray, N.D. (""Dr. Murray"")",16/1/09,16/1/09,12/31/18,successive 2 years,90 days,Arizona,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing_Agreement,LOCAL PROGRAMMING AND MARKETING AGREEMENT (WQHT HD2),MediaCo Holding Inc. (???Licensee???); WBLS-WLIB LLC (???Programmer???),11/25/19,11/25/19,12/31/22,,,Indiana,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development_Agreement,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,"Eton Pharmaceuticals, Inc. (???ETON???); Aucta Pharmaceuticals, Inc.(???Aucta???)",19/12/06,19/2/09,Perpetual,,,Delaware,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B01_525118_EX-10.B01_Content_License_Agreement,VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,"Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")",6/11/07,6/11/07,6/30/10,2 years,60 days,"Ontario, Canada",Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion_Agreement,COLOGUARD?? PROMOTION AGREEMENT,"Pfizer Inc. (???Pfizer???); Exact Sciences Corporation (""Exact"") (""Party"" and collectively as the ""Parties"")",8/21/18,8/21/18,12/31/21,,,New York,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV_AGREE-SERVICES_AGREEMENT,SERVICES AGREEMENT,"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",4/1/01,4/1/01,,perpetual,,Pennsylvania,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV_AGREE-SERVICES_AGREEMENT_AMENDMENT,AMENDMENT TO SERVICES AGREEMENT,"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",3/30/09,3/30/09,,,,Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV_AGREE-SERVICES_AGREEMENT_POWEROF,LIMITED POWER OF ATTORNEY,"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",4/1/01,,,,,Pennsylvania,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV_AGREE-SERVICES_AGREEMENT_SECONDAMENDMENT,SECOND AMENDMENT TO SERVICES AGREEMENT,"FEDERATED INVESTMENT MANAGEMENT COMPANY (""Adviser""); FEDERATED ADVISORY SERVICES COMPANY (""FASC"")",16/1/03,16/1/03,,,,Pennsylvania,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION_AGREEMENT,COLLABORATION AGREEMENT (???A,"FibroGen, Inc. (""FG"", ""FibroGen""); Astellas Pharma Inc. (""Astellas"")",5/1/06,5/1/06,perpetual,,,California,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL_PROPERTY_AGREEMENT",INTELLECTUAL PROPERTY AGREEMENT,"Equifax Inc. (""Equifax""); Certegy Inc. (""Certegy"")",6/30/01,,perpetual,,,Georgia,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY_AGREEMENT,SUPPLY AGREEMENT,"Florida Chemical Company, LLC (""FCC""); Flotek Chemistry LLC (""Flotek"")",2/28/19,2/28/19,12/31/23,,,Delaware,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration_Agreement",Collaboration Agreement,"F. Hoffmann-La Roche Ltd (""Roche Basel""); Hoffmann-La Roche Inc. (???Roche US???)(Roche Basel and Roche US together referred to as ???Roche???); Foundation Medicine, Inc. (""FMI"")",,,,,,New York,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC_ALLIANCE_AGREEMENT",STRATEGIC ALLIANCE AGREEMENT,"EDGE Communication Solutions, LLC (""EDGE""); FRE Networks, Inc. (""FTE"", ""Subcontractor"")",2/17/16,2/17/16,2/16/19,successive 1 month,30 days,Texas,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply_Agreement_-_FUSION,SUPPLY AGREEMENT,"Centre for Probe Development and Commercialization (""CPDC""); FUSION Pharmaceuticals Inc. (""FUSION""); (together ""Parties"", each a ""Party"")",,,[]/[]/[],successive 1 year,,,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing_Agreement,OUTSOURCING AGREEMENT,"SLICON SMELTERS PTY LTD (""Customer""); ESPACIO INFORMATION TECHNOLOGY, SA. (""EIT"")",9/1/01,9/1/01,,successive 1 year,3 months,Spain,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting_Agreement,"Website Design, Development and Hosting Agreement","FreeCook (""Client""); Mitchell's Web Advance, PLC (""Company"")",18/11/01,,18/3/05,,,,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship_Agreement,Corporate Sponsorship Agreement,"Freeze Tag Inc. (""Company""); American Diabetes Association (""Association"")",3/22/18,3/14/18,3/14/20,,,Virginia,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development_Agreement,JOINT DEVELOPMENT AGREEMENT,"ExxonMobil Research and Engineering Company (???ExxonMobil???); FuelCell Energy, Inc. (???FCE???)",19/5/11,10/31/19,10/31/21,,,New York,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content_License_Agreement,CONTENT DISTRIBUTION AND LICENSE AGREEMENT,"CONVERGTV,??INC.??(???ConvergTV???); Fulucai Productions Ltd. (""Producer"")",11/15/12,11/15/12,,"perpetual, 11/15/2014",,Florida,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor_Agreement,Distributorship agreement,"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",3/29/18,,3/29/19,perpetual,12 months,Ohio,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"Stallings Capital Group  Consultants, Ltd. (""Racing""); GAINSCO, INC. (""Sponser"")",10/1/01,10/1/01,12/31/10,,,Texas,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB_HOSTING_AGREEMENT,WEB HOSTING AGREEMENT,Galacticomm; Horst Entertainment Inc,9/9/97,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT_FILING_AGREEMENT",JOINT FILING AGREEMENT,"CLARUS IV-A, L.P.; CLARUS IV-B, L.P.; CLARUS IV-C, L.P.; CLARUS IV-D, L.P.; CLARUS IV GP, L.P.; BLACKSTONE CLARUS GP L.P.; BLACKSTONE CLARUS GP L.L.C.; BLACKSTONE HOLDINGS I/II GP L.L.C.; THE BLACKSTONE GROUP INC.; BLACKSTONE GROUP MANAGEMENT L.L.C.",2/14/20,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC_ALLIANCE_AGREEMENT",Strategic Alliance Agreement,"Giggles N' Hugs, Inc. (""Company""); Kiddo, Inc. (""Consultant"")",5/17/16,5/17/16,5/17/19,,,California,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING_AGREEMENT,CONSULTING AGREEMENT,"Global Technologies, Ltd (""Company""); Timothy Cabrera (""Consultant""); Company and Consultant (individually, a ???Party???; collectively, the ???Parties???)",20/2/01,20/2/01,21/2/01,,,Florida,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GOCALLINC_03_30_2000-EX-10.7-Promotion_Agreement,Promotion Agreement,"Go Call, Inc. (""Go Call""); PageMaster Corporation",3/12/99,6/1/99,6/1/00,1 year,,California,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC_ALLIANCE_AGREEMENT,STRATEGIC ALLIANCE AGREEMENT,"GOLD RESOURCE CORPORATION (""GRC"", ""the Company""); HOCHSCHILD MINING HOLDINGS LIMITED (""HOC"")",8/5/12,,,,,New York,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise_Agreement",FRANCHISE AGREEMENT,"Goosehead Insurance Agency, LLC (???we,??? ???us,??? or ???our""); (???you??? or the ???Franchisee"")",,,,successive 5 years,,Texas,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION_CONTRACT,TRANSPORTATION CONTRACT  GENERAL CONDITIONS,"SOLANA PETROLEUM EXPLORATION  COLOMBIA LIMITED (""SENDER""); ECOPETROL S.A.(""ECOPETROL"") (""SHIPPER"")",1/30/12,1/30/12,7/29/12,,,Colombia,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY_AGREEMENT",SUPPLY AGREEMENT,"EWSD 1, LLC, d/b/a SHI FARMS (""Shi Farms""); Gridiron BioNutrients (""Gridiron""); EWSD 1, LLC, d/b/a SHI FARMS and Gridiron BioNutrients (individually ???a Party,??? and collectively, ???the Parties.???)",1/27/20,1/27/20,,,,Colorado,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL_PROPERTY_AGREEMENT_between_SONY_ELECTRONICS_INC._and_GSI_TECHNOLOGY,_INC.",Intellectual Property Agreement,"GSI Technology, Inc. (""PURCHASER""); Sony Electronics Inc. (""SONY""); individually as a ""party"", collectively as the ""parties""",8/28/09,,perpetual,,,California,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes
GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,"Excite, Inc.""Excite""; CyberShop ""Client""",3/31/98,3/31/98,perpetual,,,New York,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE_AGREEMENT,AFFILIATE AGREEMENT,"Gulf South Medical Supply, Inc. (""GSMS""); Physician Sales & Service, Inc. (""PSS""); PSS Merger Corp.",12/14/97,,,,,Delaware,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
"GWG_HOLDINGS,_INC._-_ORDERLY_MARKETING_AGREEMENT",ORDERLY MARKETING AGREEMENT,"GWG Holdings, Inc. (""GWG""); Trust Advisors to the Seller Trusts (""Trust Advisors""); GWG and Trust Advisors (each a  ???Party??? and collectively as the ???Parties???)",12/27/18,12/27/18,12/27/19,,,New York,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual_Property_Agreement,"INTELLECTUAL PROPERTY AGREEMENT, d","HONEYWELL INTERNATIONAL INC. (""Honeywell""); GARRETT MOTION INC. (""SpinCo"")",9/27/18,9/27/18,,,,New York,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No
GentechHoldingsInc_20190808_1-A_EX1A-6_MAT_CTRCT_11776814_EX1A-6_MAT_CTRCT_Distributor_Agreement,DISTRIBUTOR AGREEMENT,"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",19/1/08,19/1/08,22/1/08,3 years,,Florida,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content_License_Agreement,CONTENT LICENSE AGREEMENT,"Global Music International, Inc. d/b/a Independent Music Network (""IMNTV""); MobileVision Communications, Ltd. (""Distributor"")",7/13/05,7/13/05,7/13/06,successive 1 year,,Florida,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content_License_Agreement1,WIRELESS CONTENT LICENSE AGREEMENT,"Twentieth Century Fox Licensing & Merchandising (""Fox""); Sorrent, Inc (""Licensee"")(""parties"" and each individually as a ""party)",12/16/04,12/16/04,12/31/06,,,California,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
