Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
SEPARATEACCOUNTIIOFAGL_05_02_2011-EX-99.J4-UNCONDITIONAL_CAPITAL_MAINTENANCE_AGREEMENT,Unconditional Capital Maintenance Agreement,30,30,30,30,"Unconditional Capital Maintenance Agreement ( this "" Agreement "" ) , is made , entered into and effective as of 2011 03 30","Unconditional Capital Maintenance Agreement ( this "" Agreement "" ) , is made , entered into and effective as of 2011 03 30",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement_Agreement,ENDORSEMENT AGREEMENT,11,11,11,11,"ENDORSEMENT AGREEMENT ADDENDUM I This Endorsement Agreement Addendum I ( the "" Addendum "" ) is made and effective 2017 11","ENDORSEMENT AGREEMENT ADDENDUM I This Endorsement Agreement Addendum I ( the "" Addendum "" ) is made and effective 2017 11",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ImperialGardenResortInc_20161028_DRS_on_F-1_EX-10.13_9963189_EX-10.13_Outsourcing_Agreement,Outsourcing Contract,29,29,29,29,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"VIRGINGALACTICHOLDINGS,INC_04_08_2020-EX-99.1-JOINT_FILING_STATEMENT",JOINT FILING STATEMENT,8,8,8,8,"JOINT FILING STATEMENT PURSUANT TO RULE 13d - 1 ( k ) The undersigned acknowledge and agree that the foregoing statement on this Schedule 13G is filed on behalf of each of the undersigned and that all subsequent amendments to this statement on Schedule 13G shall be filed on behalf of each of the undersigned without the necessity of filing additional joint acquisition statements . The undersigned acknowledge that each shall be responsible for the timely filing of such amendments and for the completeness and accuracy of the information concerning him or it contained herein or therein , but shall not be responsible for the completeness and accuracy of the information concerning the others , except to the extent that he or it knows or has reason to believe that such information is inaccurate . DATED : April 8","JOINT FILING STATEMENT PURSUANT TO RULE 13d - 1 ( k ) The undersigned acknowledge and agree that the foregoing statement on this Schedule 13G is filed on behalf of each of the undersigned and that all subsequent amendments to this statement on Schedule 13G shall be filed on behalf of each of the undersigned without the necessity of filing additional joint acquisition statements . The undersigned acknowledge that each shall be responsible for the timely filing of such amendments and for the completeness and accuracy of the information concerning him or it contained herein or therein , but shall not be responsible for the completeness and accuracy of the information concerning the others , except to the extent that he or it knows or has reason to believe that such information is inaccurate . DATED : April 8",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor_Agreement,Distributorship agreement,"29/3/18 Distributorship agreement between Signature Orthopaedics Pty Ltd And CPM Medical Consultants LLC Source : FUSE MEDICAL , INC . , 10 - K , 3/21/2019 EXHIBIT 10.43 THIS AGREEMENT is dated Parties ( 1",29/3/18,29/3/18,29/3/18,"Distributorship agreement between Signature Orthopaedics Pty Ltd And CPM Medical Consultants LLC Source : FUSE MEDICAL , INC . , 10 - K , 3/21/2019 EXHIBIT 10.43 THIS AGREEMENT is dated Parties ( 1 ) Signature Orthopaedics Pty Ltd ( ACN 106 702 416 ) , 7 Sirius Road , Lane Cove , NSW ( 2 ) CPM Medical Consultants , LLC of 1565N . Central Expressway , Suite 200 , Dallas , TX 75080 . Background The Supplier wishes to appoint the Distributor as its non-exclusive distributor for the promotion and sale of the Products within the Territory ( both as defined below ) , and the Distributor wishes to promote and sell the Products within the Territory on the terms of this agreement . Agreed terms 1 . Definitions and interpretation 1.1 The definitions and rules of interpretation in this clause apply in this agreement . Business Day : a day ( other than a Saturday , Sunday or public holiday in Australia ) when banks in Sydney are open for business . Commencement Date : means the date of this agreement . Control : the ability to direct the affairs of another person , whether by virtue of the ownership of shares , contract or otherwise . Inactive Territories means a country in which the Distributor has not sold or supplied the Product during the Initial Term . Initial Term has the meaning given to it in clause 12.1","Distributorship agreement between Signature Orthopaedics Pty Ltd And CPM Medical Consultants LLC Source : FUSE MEDICAL , INC . , 10 - K , 3/21/2019 EXHIBIT 10.43 THIS AGREEMENT is dated Parties ( 1 ) Signature Orthopaedics Pty Ltd ( ACN 106 702 416 ) , 7 Sirius Road , Lane Cove , NSW ( 2 ) CPM Medical Consultants , LLC of 1565N . Central Expressway , Suite 200 , Dallas , TX 75080 . Background The Supplier wishes to appoint the Distributor as its non-exclusive distributor for the promotion and sale of the Products within the Territory ( both as defined below ) , and the Distributor wishes to promote and sell the Products within the Territory on the terms of this agreement . Agreed terms 1 . Definitions and interpretation 1.1 The definitions and rules of interpretation in this clause apply in this agreement . Business Day : a day ( other than a Saturday , Sunday or public holiday in Australia ) when banks in Sydney are open for business . Commencement Date : means the date of this agreement . Control : the ability to direct the affairs of another person , whether by virtue of the ownership of shares , contract or otherwise . Inactive Territories means a country in which the Distributor has not sold or supplied the Product during the Initial Term . Initial Term has the meaning given to it in clause 12.1",29/3/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING_AGREEMENT,OUTSOURCING AGREEMENT,2012,2012,2012,2012,"2012 TWIN CITIES POWER HOLDINGS , LLC and REDWATER LLC $ 50,000,000.00 Renewable Unsecured Subordinated Notes TABLE OF CONTENTS ARTICLE I DEFINITIONS 1 Section 1.01 Defined Terms 1 Section 1.02 Accounting Terms 4","OUTSOURCING AGREEMENT dated as of , 2012 TWIN CITIES POWER HOLDINGS , LLC and REDWATER LLC $ 50,000,000.00 Renewable Unsecured Subordinated Notes TABLE OF CONTENTS ARTICLE I DEFINITIONS 1 Section 1.01 Defined Terms 1 Section 1.02 Accounting Terms 4",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING_AGREEMENT",OUTSOURCING AGREEMENT,31,31,31,31,"OUTSOURCING AGREEMENT This ASP and Outsourcing Agreement ( "" Agreement "" ) is entered into as of this 31","OUTSOURCING AGREEMENT This ASP and Outsourcing Agreement ( "" Agreement "" ) is entered into as of this 31",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY_AGREEMENT,Supply Agreement,11,28,11,"28 * * * * * * Confidential treatment has been requested for redacted portions of this exhibit . This copy omits the information subject to the confidentiality request . Omissions are designated as [ * * * * * * ] . A complete version of this exhibit has been provided separately to the Securities and Exchange Commission . SUPPLY AGREEMENT This Supply Agreement ( "" Agreement "" ) was made and entered into as of the 11","Supply Agreement ( "" Agreement "" ) was made and entered into as of the 11","Supply Agreement ( "" Agreement "" ) was made and entered into as of the 11 day of 2001 01 01 by and between MediWound Ltd. , a corporation organized and existing under the laws of Israel ( hereinafter referred to as "" MediWound "" ) and Challenge Bioproducts Corporation Ltd. , a corporation organized and existing under the laws of the Republic of China ( hereinafter referred to as "" CBC "" ) and amended by the parties on 2010 02 28",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing_Agreement__Supply_Agreement,FINAL VERSION FORM OF MANUFACTURING AND SUPPLY AGREEMENT,1,1,1/21/2020,1,"FINAL VERSION FORM OF MANUFACTURING AND SUPPLY AGREEMENT BY AND BETWEEN PFIZER INC. . AND UPJOHN INC. . DATED AS OF [ â — ] Source : UPJOHN INC , 10 - tp@cklNUMBERtp@ckl 12G , 1/21/2020 TABLE OF CONTENTS Page 1 . â € â € ¯ DEFINITIONS 1 2 . â € â € ¯ SUPPLY OF PRODUCT 13","FINAL VERSION FORM OF MANUFACTURING AND SUPPLY AGREEMENT BY AND BETWEEN PFIZER INC. . AND UPJOHN INC. . DATED AS OF [ â — ] Source : UPJOHN INC , 10 - tp@cklNUMBERtp@ckl 12G , 1/21/2020 TABLE OF CONTENTS Page 1 . â € â € ¯ DEFINITIONS 1 2 . â € â € ¯ SUPPLY OF PRODUCT 13",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Antares_Pharma,_Inc._-_Manufacturing_Agreement",Manufacturing Agreement,20th,20th,20th,20th,"Manufacturing Agreement ( "" Agreement "" ) is made and entered into as of the 20th","Manufacturing Agreement ( "" Agreement "" ) is made and entered into as of the 20th",20th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RareElementResourcesLtd_20171019_SC_13D_EX-99.4_10897534_EX-99.4_Intellectual_Property_Agreement,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,1122,15,1122,15,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,INTELLECTUAL PROPERTY RIGHTS AGREEMENT,"INTELLECTUAL PROPERTY RIGHTS AGREEMENT Synchron , a California corporation having a principal place of business at 3550 General Atomics Court , San Diego , CA 92121 - tp@cklNUMBERtp@ckl 1122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARIABLESEPARATEACCOUNT_04_30_2014-EX-13.C-UNCONDITIONAL_CAPITAL_MAINTENANCE_AGREEMENT,AMENDED AND RESTATED UNCONDITIONAL CAPITAL MAINTENANCE AGREEMENT,18,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABILITYINC_06_15_2020-EX-4.25-SERVICES_AGREEMENT,SERVICES AGREEMENT,11,11,11,11,"Services Agreement ( this "" Agreement "" ) is entered into on 2019 10 01 and is made effective as of 2019 11","SERVICES AGREEMENT This Services Agreement ( this "" Agreement "" ) is entered into on 2019 10 01 and is made effective as of 2019 11","Services Agreement ( this "" Agreement "" ) is entered into on 2019 10 01 and is made effective as of 2019 11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELECTRAMECCANICA_VEHICLES_CORP._-_Manufacturing_Agreement,Manufacturing Agreement,2017,2017,2017,2017,"Manufacturing Agreement ( the "" Agreement "" ) is effective February _ _ _ _ _ _ _ _ , 2017","Manufacturing Agreement ( the "" Agreement "" ) is effective February _ _ _ _ _ _ _ _ , 2017",2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content_License_Agreement,WEBSITE CONTENT LICENSE AGREEMENT,10,10,10,10,"WEBSITE CONTENT LICENSE AGREEMENT This Content License Agreement ( "" Agreement "" ) , dated as of Feb 10","WEBSITE CONTENT LICENSE AGREEMENT This Content License Agreement ( "" Agreement "" ) , dated as of Feb 10",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE_AGREEMENT,SERVICE AGREEMENT,26,26,26,26,"26 BicycleTX Ltd and Nigel Crockett _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ SERVICE AGREEMENT _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ THIS AGREEMENT is made on 2019 09 26 BETWEEN : ( 1 ) BICYCLETX LIMITED a company incorporated under the laws of England and Wales ( Company Number 11036101 ) whose registered office is at Building 900 Babraham Research Campus , Babraham , Cambridgeshire , CB22 3AT , United Kingdom ( the "" Company "" ) ; and ( 2 ) NIGEL CROCKETT of ( the '' Employee "" ) . IT IS AGREED as follows : 1 . COMMENCEMENT OF EMPLOYMENT 1.1 This Agreement shall take effect 2019 09 26","SERVICE AGREEMENT _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ THIS AGREEMENT is made on 2019 09 26 BETWEEN : ( 1 ) BICYCLETX LIMITED a company incorporated under the laws of England and Wales ( Company Number 11036101 ) whose registered office is at Building 900 Babraham Research Campus , Babraham , Cambridgeshire , CB22 3AT , United Kingdom ( the "" Company "" ) ; and ( 2 ) NIGEL CROCKETT of ( the '' Employee "" ) . IT IS AGREED as follows : 1 . COMMENCEMENT OF EMPLOYMENT 1.1 This Agreement shall take effect 2019 09 26",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship_Agreement,Corporate Sponsorship Agreement,15,22,22,22,"Corporate Sponsorship Agreement Between American Diabetes Association and Freeze Tag , Inc. . This Agreement ( "" Agreement "" ) is made effective 2018 03 22 , by and between Freeze Tag Inc. , a Delaware Corporation ( "" Company "" ) , with its principal place of business located at 1720 Bray Central Drive , McKinney , TX 75069 and the American Diabetes Association , Inc. ( "" Association "" ) , an Ohio not - for profit corporation , with its principal place of business located at 2451 Crystal Drive , Suite 900 , Arlington , VA 22202 . ADA and / or Company may be referred to as a "" Party "" or collectively as the "" Parties . "" 1 . Purpose : The purpose of this Agreement is to benefit the Association and advance its not - for - profit mission through a National Sponsorship of Get Fit Do n't Sit DayT M. Company desires to assist the Association to carry out its mission and agrees to provide the support described in this Agreement . Company understands that as a not - for - profit charitable organization Association can not promote or endorse Company's products or services , either explicitly or implicitly . The Association may require that a disclaimer stating that Company's participation in this Agreement does not convey or imply the Association's approval , endorsement , certification , acceptance , or referral of any product or service of Company . 2 . Scope : The Association agrees to identify and acknowledge Company as a supporter of the organization and the diabetes cause , as permitted in connection with qualified sponsorship payments and royalties under Section 513 ( i ) and Section 512 of the Internal Revenue Code and Treasury regulations thereunder ( "" Code "" ) . Company agrees not to knowingly take any actions that would jeopardize the tax - exempt status of Association under section 501 ( c ) ( 3 ) of the Code . Company agrees to inform its business partners about Association's tax - exempt status . Company agrees to provide its services , as defined in Attachment A , in accordance with all applicable laws and in accordance with standards of decorum and taste so as not to adversely reflect upon the Association or its mission . 3 . Term : This Agreement shall commence on 2018 03 15","Corporate Sponsorship Agreement Between American Diabetes Association and Freeze Tag , Inc. . This Agreement ( "" Agreement "" ) is made effective 2018 03 22",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELEGLOBEINTERNATIONALHOLDINGSLTD_03_29_2004-EX-10.10-CONSTRUCTION_AND_MAINTENANCE_AGREEMENT,CONSTRUCTION AND MAINTENANCE AGREEMENT,18,18,18,18,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING_AGREEMENT,Hosting Agreement,1,1,1,1,Hosting Agreement,Hosting Agreement .,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE_AGREEMENT,FRANCHISE AGREEMENT,4,4,4,4,FRANCHISE AGREEMENT TABLE OF CONTENTS I . INTRODUCTION II . AGREEMENT 1 . Definitions 2 . Franchise Grant ; Term 2.1 Grant 2.2 Term 2.3 No Renewal Right : No Exclusivity 2.4 Continuous Operation 2.5 Best Efforts 3 . Consideration for Franchise Grant 4,FRANCHISE AGREEMENT TABLE OF CONTENTS I . INTRODUCTION II . AGREEMENT 1 . Definitions 2 . Franchise Grant ; Term 2.1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION_AGREEMENT,COLLABORATION AGREEMENT,11,11,11,11,"COLLABORATION AGREEMENT THIS COLLABORATION AGREEMENT ( the "" Agreement "" ) is entered into as of 2012 11","COLLABORATION AGREEMENT THIS COLLABORATION AGREEMENT ( the "" Agreement "" ) is entered into as of 2012 11",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PACIFICSYSTEMSCONTROLTECHNOLOGYINC_08_24_2000-EX-10.53-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,22,22,22,22,"SPONSORSHIP AGREEMENT for Boxing Event in China , on 2000 04 22 American Champion Media , Inc. ( "" ACM "" ) , a Delaware company with headquarters at 1694 The Alameda , San Jose , CA 95126 , U.S.A. , is the host and producer of a boxing event to take place at the Tian He Stadium in Guangzhou , China ( the "" Event "" ) . This Event is scheduled to take place on 2000 04 22","SPONSORSHIP AGREEMENT for Boxing Event in China , on 2000 04 22",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NANOPHASETECHNOLOGIESCORP_11_01_2005-EX-99.1-DISTRIBUTOR_AGREEMENT,DISTRIBUTOR AGREEMENT,24,24,24,24,"DISTRIBUTOR AGREEMENT THIS AGREEMENT , dated as of 2005 10 24","DISTRIBUTOR AGREEMENT THIS AGREEMENT , dated as of 2005 10 24",24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance_Agreement1,GLOBAL MAINTENANCE AGREEMENT,3/3/17,3/3/17,3/3/17,3/3/17,"GLOBAL MAINTENANCE AGREEMENT Contract No . DS / CS - 3957/14 issue 7 Between AZUL LINHAS AÃ ‰ REAS BRASILEIRAS S / A ( as Company ) and AVIONS DE TRANSPORT REGIONAL , G.I.E . ( as Repairer ) 2015 03 09 AZUL - ATR Global Maintenance Master Agreement DS / CS - 3957 / 14 / Issue 7 Page 1/110 Source : AZUL SA , F - 1 / A , 3/3/2017","GLOBAL MAINTENANCE AGREEMENT Contract No . DS / CS - 3957/14 issue 7 Between AZUL LINHAS AÃ ‰ REAS BRASILEIRAS S / A ( as Company ) and AVIONS DE TRANSPORT REGIONAL , G.I.E . ( as Repairer ) 2015 03 09 AZUL - ATR Global Maintenance Master Agreement DS / CS - 3957 / 14 / Issue 7 Page 1/110 Source : AZUL SA , F - 1 / A , 3/3/2017 Execution version CONTENTS Clause Page 1",3/3/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PelicanDeliversInc_20200211_S-1_EX-10.3_11975895_EX-10.3_Development_Agreement2,SOFTWARE DEVELOPMENT AGREEMENT,3rd,3rd,3rd,3rd,3rd,3rd,3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NETGEAR,INC_04_21_2003-EX-10.16-AMENDMENT_TO_THE_DISTRIBUTOR_AGREEMENT_BETWEEN_INGRAM_MICRO_AND_NETGEAR","ENTIRE AGREEMENT , GOVERNING LAW",19,19,19,19,19,"19 . ENTIRE AGREEMENT , GOVERNING LAW This Agreement , including its attachment and order acknowledgments under the Agreement , constitutes the entire agreement between Distributor and NETGEAR with respect to the purchase , resale and distribution of the Products and is governed by the laws of the State of California except that body of law dealing with conflicts of law . INGRAM NETGEAR Distributor Agreement 11 083096 * Portions denoted with an asterisk have been omitted and filed separately with the Securities and Exchange Commission pursuant to a request for confidential treatment . EXHIBIT 1 DISCOUNT SCHEDULE The initial Discount offered Distributor for purchase or license of NETGEAR Products included on the NETGEAR Price List in effect on the Effective Date of this Agreement is [ * ] off of the then current NETGEAR list price . Distributor agrees that the foregoing Discount is only applicable to Products included on the NETGEAR Price List on the Effective Date of this Agreement . NETGEAR reserves the right to add Products to the Price List at its sole discretion and any such additional Products shall be offered to Distributor at discounts to be determined at that time . INGRAM NETGEAR Distributor Agreement 12",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR_AGREEMENT_Amendment,FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT,1st,1st,1st,1st,"FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT THIS FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT ( this "" Amendment "" ) is made and entered into as of the 1st day of 1999 01 01 , by and between Peregrine / Bridge Transfer Corporation , a Delaware corporation ( "" Licensor "" ) , and NEON Systems , Inc. , a Delaware corporation ( "" Licensee "" ) . RECITALS : Licensor and Licensee are parties to that certain Distributor Agreement dated as of 1996 01 01 ( the "" Distributor Agreement "" ) . Licensor and Licensee desire to amend the Distributor Agreement as set forth herein . NOW , THEREFORE , for and consideration of the mutual covenants of the parties set forth herein , the receipt and sufficiency of which are hereby acknowledged , the parties hereto hereby agree as follow : 1 . AMENDMENT OF DEFINITIONS . Article 1 of the Distributor Agreement is hereby amended to add thereto the following : 1.11 "" Annual Royalty Advance Requirement "" shall mean ( i ) $ 1,000,000 in respect of Licensee's fiscal year beginning 1999 04 01 , ( ii ) $ 2,000,000 in respect of Licensee's fiscal year beginning 2000 04 01 , ( iii ) $ 3,000,000 in respect of Licensee's fiscal year beginning 2001 04 01 , ( iv ) $ 4,000,000 in respect of Licensee's fiscal year beginning 2002 04 01 and ( v ) $ 5,000,000 in respect of Licensee's fiscal year beginning 2003 04 01 . In the event that the term hereof extends beyond Licensee's fiscal year beginning 2003 04 01 , the amount of the Annual Royalty Advance shall increase by $ 1,000,000 for each such fiscal year thereafter . 1.12 "" Royalty Advance "" shall have the meaning provided therefor in Section 3.2 hereof . 1.13 "" Specified Royalty Percentage "" shall mean fifty percent ( 50 ) for the period from and including 1999 01 01 through and including 1994 03 31","FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT THIS FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT ( this "" Amendment "" ) is made and entered into as of the 1st day of 1999 01 01 , by and between Peregrine / Bridge Transfer Corporation , a Delaware corporation ( "" Licensor "" ) , and NEON Systems , Inc. , a Delaware corporation ( "" Licensee "" ) . RECITALS : Licensor and Licensee are parties to that certain Distributor Agreement dated as of 1996 01 01 ( the "" Distributor Agreement "" ) . Licensor and Licensee desire to amend the Distributor Agreement as set forth herein . NOW , THEREFORE , for and consideration of the mutual covenants of the parties set forth herein , the receipt and sufficiency of which are hereby acknowledged , the parties hereto hereby agree as follow : 1 . AMENDMENT OF DEFINITIONS . Article 1 of the Distributor Agreement is hereby amended to add thereto the following : 1.11 "" Annual Royalty Advance Requirement "" shall mean ( i ) $ 1,000,000 in respect of Licensee's fiscal year beginning 1999 04 01 , ( ii ) $ 2,000,000 in respect of Licensee's fiscal year beginning 2000 04 01 , ( iii ) $ 3,000,000 in respect of Licensee's fiscal year beginning 2001 04 01 , ( iv ) $ 4,000,000 in respect of Licensee's fiscal year beginning 2002 04 01 and ( v ) $ 5,000,000 in respect of Licensee's fiscal year beginning 2003 04 01 . In the event that the term hereof extends beyond Licensee's fiscal year beginning 2003 04 01 , the amount of the Annual Royalty Advance shall increase by $ 1,000,000 for each such fiscal year thereafter . 1.12 "" Royalty Advance "" shall have the meaning provided therefor in Section 3.2 hereof . 1.13 "" Specified Royalty Percentage "" shall mean fifty percent ( 50 ) for the period from and including 1999 01 01 through and including 1994 03 31","FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT THIS FIRST AMENDMENT TO DISTRIBUTOR AGREEMENT ( this "" Amendment "" ) is made and entered into as of the 1st",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Columbia_Laboratories,_Bermuda_Ltd._-_AMEND_NO._2_TO_MANUFACTURING_AND_SUPPLY_AGREEMENT",Manufacturing and Supply Agreement,2018,12,2018,2018,2018,Manufacturing and Supply Agreement dated as of 2009 12,"2018 ( the "" Effective Date "" ) . WHEREAS , Columbia and Fleet entered into the Existing Agreement pursuant to which Fleet has agreed to manufacture and supply to Columbia , and Columbia has agreed to purchase , certain Products ; and WHEREAS , Columbia and Fleet wish to amend the Existing Agreement in accordance with the terms of this Amendment . NOW THEREFORE , in consideration of the foregoing and other good and valuable consideration , the receipt and sufficiency of which is hereby acknowledged , Columbia and Fleet agree as follows : General Capitalised terms used but not defined in this Amendment shall have the same meanings ascribed to such terms in the Existing Agreement . The following amendments to the Existing Agreement shall have effect on and from the Effective Date . 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE_LICENSE_AND_MAINTENANCE_AGREEMENT,SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,1,1,1,1,"SOFTWARE LICENSE AND MAINTENANCE AGREEMENT BETWEEN GARMAN ROUTING SYSTEMS , INC . ( "" GARMAN "" ) AND SPARKLING SPRING WATER GROUP LIMITED ( "" SPARKLING "" ) WHEREAS Garman has developed and is entitled to license to others certain software and supporting materials which Sparkling wishes to license , the parties agree as follows : 1","SOFTWARE LICENSE AND MAINTENANCE AGREEMENT BETWEEN GARMAN ROUTING SYSTEMS , INC . ( "" GARMAN "" ) AND SPARKLING SPRING WATER GROUP LIMITED ( "" SPARKLING "" ) WHEREAS Garman has developed and is entitled to license to others certain software and supporting materials which Sparkling wishes to license , the parties agree as follows : 1","SOFTWARE LICENSE AND MAINTENANCE AGREEMENT BETWEEN GARMAN ROUTING SYSTEMS , INC . ( "" GARMAN "" ) AND SPARKLING SPRING WATER GROUP LIMITED ( "" SPARKLING "" ) WHEREAS Garman has developed and is entitled to license to others certain software and supporting materials which Sparkling wishes to license , the parties agree as follows : 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP_AGREEMENT,SPONSORSHIP AGREEMENT,23rd,23rd,23rd,23rd,"SPONSORSHIP AGREEMENT This agreement ( "" Agreement "" ) is entered into as of the 23rd","SPONSORSHIP AGREEMENT This agreement ( "" Agreement "" ) is entered into as of the 23rd",23rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUVEEN_-_REMARKETING_AGREEMENT,REMARKETING AGREEMENT,2,2,2,2,REMARKETING AGREEMENT,REMARKETING AGREEMENT,"2 NUVEEN AMT - FREE MUNICIPAL CREDIT INCOME FUND ( NVG ) AND NUVEEN FUND ADVISORS , LLC AND [ â — ] REMARKETING AGREEMENT Dated as of [ â — ] Series [ â — ] MuniFund Preferred Shares Variable Rate Remarketed Mode ( NVG - Series [ â — ] MFP ) Table of Contents Page Section 1 . Definitions 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
